#自衛隊機クソコラグランプリ　まとめ - Togetterま	#自衛隊機クソコラグランプリ　まとめ - Togetterまとめ	<a href="http://togetter.com/li/679659">http://togetter.com/li/679659</a>	[ログ・日記] [ログ] 469 view 8 さかぽんさん（@WannaParty_DPA）による	[ログ・日記] [ログ] 469 view 8 さかぽんさん（@WannaParty_DPA）によるフォロワーさん武将化企画のまとめです。その２.. 続きを読む
nanapiのSEOはチーム戦！検索流入数を前年比166％に	nanapiのSEOはチーム戦！検索流入数を前年比166％にした施策 | nanapi TechBlog	<a href="http://nanapi.co.jp/blog/2014/06/13/seo_team_growthhack">http://nanapi.co.jp/blog/2014/06/13/seo_team_growthhack</a>	こんにちは、ディレクターのまつもとです。 nanapiでは以前からSEO（検索エンジン最適化）に取り	こんにちは、ディレクターのまつもとです。 nanapiでは以前からSEO（検索エンジン最適化）に取り組み続けていますが、検索流入数は数年継続して伸びており、直近の5月でも前年同月比166％という結果になりました。 さて、SEOに関して技術的なことや概念的な情報はたくさん存在するものの、チームとしてどう取り組んでいるのかなどの情報が少ないと感じたことはないでしょうか？ SEOをメインとした集客設計は...
Google、Appleの「HealthKit」対抗のヘルス	Google、Appleの「HealthKit」対抗のヘルスケアサービス「Google Fit」立ち上げか - ITmedia ニュース	<a href="http://www.itmedia.co.jp/news/articles/1406/13/news091.html">http://www.itmedia.co.jp/news/articles/1406/13/news091.html</a>	Google、Appleの「HealthKit」対抗のヘルスケアサービス「Google Fit」立ち	Google、Appleの「HealthKit」対抗のヘルスケアサービス「Google Fit」立ち上げか Forbesによると、Googleは6月25日から開催の年次開発者会議で、Samsungの「Digital Health Initiative」やAppleの「HealthKit」と競合する「Google Fit」を発表するという。
「アナと雪の女王」、7月16日よりdビデオで配信 - ケータ	「アナと雪の女王」、7月16日よりdビデオで配信 - ケータイ Watch	<a href="http://k-tai.impress.co.jp/docs/news/20140613_653244.html">http://k-tai.impress.co.jp/docs/news/20140613_653244.html</a>	ニュース 「アナと雪の女王」、7月16日よりdビデオで配信 （2014/6/13 12:50） エイ	ニュース 「アナと雪の女王」、7月16日よりdビデオで配信 （2014/6/13 12:50） エイベックス通信放送とNTTドコモは、動画配信サービス「dビデオ」7月16日より人気アニメ映画「アナと雪の女王」を配信する。1回400円（税抜）の新作レンタル用作品として提供され、Android、iPhoneなどで楽しめる。 ディズニー創立90周年記念作品の「アナと雪の女王」は、世界的にヒットするアニメ...
URLやメールアドレスをカメラで撮影するだけで認識してくれる	URLやメールアドレスをカメラで撮影するだけで認識してくれる「PicLink Camera」 - iPhone女史	<a href="http://www.iphone-girl.jp/2014/06/359648/">http://www.iphone-girl.jp/2014/06/359648/</a>	最近は、雑誌や広告などで、URLの隣にQRコードが一緒に掲載されていることが多いですが、スペースの関	最近は、雑誌や広告などで、URLの隣にQRコードが一緒に掲載されていることが多いですが、スペースの関係で、QRコードがない場合もありますよね。 興味があれば、自分でURLを入力しちゃいますが、一からURLを入力するのって、かなりめんどうです。 めんどくさいからいいや、とその情報をスルーしてしまうことも、しばしば。 でも、「PicLink Camera」なら、URLやメールアドレスそのものを撮影する...
新たな次世代メモリ候補：カーボンナノチューブを使った「NRA	新たな次世代メモリ候補：カーボンナノチューブを使った「NRAM」の基本動作を実証 - EE Times Japan	<a href="http://eetimes.jp/ee/articles/1406/12/news067.html">http://eetimes.jp/ee/articles/1406/12/news067.html</a>	中央大学の竹内健教授らのグループは2014年6月12日、米国のNanteroと共同でカーボンナノチュ	中央大学の竹内健教授らのグループは2014年6月12日、米国のNanteroと共同でカーボンナノチューブを用いた半導体メモリ「NRAM」に最適な書き込み方法を開発し、140nmサイズの単体素子によって基本動作を実証したと発表した。 中央大学の竹内健教授らのグループは2014年6月12日、米国のNanteroと共同でカーボンナノチューブを用いた半導体メモリ「NRAM」に最適な書き込み方法を考案すると...
LOGIN:忘れられる権利　生貝・東大大学院特任講師に聞く 	LOGIN:忘れられる権利　生貝・東大大学院特任講師に聞く - 毎日新聞	<a href="http://mainichi.jp/journalism/news/20140613mog00m040002000c.html">http://mainichi.jp/journalism/news/20140613mog00m040002000c.html</a>	欧州連合（ＥＵ）司法裁判所の「忘れられる権利」判決では、インターネットの世界で大きな影響力を持つ検索	欧州連合（ＥＵ）司法裁判所の「忘れられる権利」判決では、インターネットの世界で大きな影響力を持つ検索エンジンが規制対象となった。日米欧の情報政策に詳しい生貝直人・東大大学院特任講師に、その意味と今後の展望を解説していただいた。 −−判決では、報道機関ではない検索エンジンの運営会社に対し、情報の「適切性」を判断しなければならないとの責務を課しました。 ◆今回の判決で最も難しい点だと思います。これまで...
C57BL/6の華麗なる一族 - doubutsutokur	C57BL/6の華麗なる一族 - doubutsutokuronの日記	<a href="http://doubutsutokuron.hatenablog.com/entry/2014/06/13/134225">http://doubutsutokuron.hatenablog.com/entry/2014/06/13/134225</a>	2014-06-13 C57BL/6の華麗なる一族 理研とはまったく縁のない動物学特論です。遠目で「	2014-06-13 C57BL/6の華麗なる一族 理研とはまったく縁のない動物学特論です。遠目で「あれが、理研かー」くらいはあります。憧れはありましたけどね さて、前回に引き続き脱線したままの特論ですが、今回は某所の記事*1にあったもう一つの系統であるC57BL/6（いわゆるB6マウス）について書こうと思います。 C57BL/6マウス （写真は、Jackson研究所HPより引用　http://j...
ITpro NOW - パスワードによるアクセス制御はもう限	ITpro NOW - パスワードによるアクセス制御はもう限界：ITpro	<a href="http://itpro.nikkeibp.co.jp/article/COLUMN/20140613/563877/">http://itpro.nikkeibp.co.jp/article/COLUMN/20140613/563877/</a>	パスワードによるアクセス制御・セキュリティ担保は、もう限界にきているようだ。 最初の記事は「9割以上	パスワードによるアクセス制御・セキュリティ担保は、もう限界にきているようだ。 最初の記事は「9割以上のユーザーが『パスワードを使い回し』、トレンドマイクロが調査」というもの。同社がWebサービスのユーザーを対象に実施した調査では、パスワードを使い回しているユーザーは93.1％に上った。 パスワードの使い分けに関する質問では、「2〜3種類のパスワードを、ほぼ全てのWebサービスで利用している」という...
[まとめ] トレジャーデータ事例活用セミナー - Toget	[まとめ] トレジャーデータ事例活用セミナー - Togetterまとめ	<a href="http://togetter.com/li/679633">http://togetter.com/li/679633</a>	2014年06月13日に開催したトレジャーデータ事例活用セミナーのまとめです。詳細な内容をツイートし	2014年06月13日に開催したトレジャーデータ事例活用セミナーのまとめです。詳細な内容をツイートして頂いた @suzuki さんに大変感謝しております。
